file_path,total_frames,total_time,avg_fps
/home/sangjunpark/Desktop/lafan_smplx/multipleActions1_subject4.npz,4587,127.4047,36.00
/home/sangjunpark/Desktop/lafan_smplx/walk2_subject4.npz,7146,148.0358,48.27
/home/sangjunpark/Desktop/lafan_smplx/jumps1_subject1.npz,7334,166.1592,44.14
/home/sangjunpark/Desktop/lafan_smplx/sprint1_subject4.npz,8194,187.2096,43.77
/home/sangjunpark/Desktop/lafan_smplx/walk1_subject2.npz,7840,173.6051,45.16
/home/sangjunpark/Desktop/lafan_smplx/walk2_subject1.npz,7146,158.4667,45.09
/home/sangjunpark/Desktop/lafan_smplx/obstacles6_subject5.npz,7551,176.5083,42.78
/home/sangjunpark/Desktop/lafan_smplx/fight1_subject2.npz,7347,187.1347,39.26
/home/sangjunpark/Desktop/lafan_smplx/ground1_subject1.npz,4742,98.9132,47.94
/home/sangjunpark/Desktop/lafan_smplx/aiming2_subject2.npz,9172,205.8411,44.56
/home/sangjunpark/Desktop/lafan_smplx/jumps1_subject5.npz,7334,175.6288,41.76
/home/sangjunpark/Desktop/lafan_smplx/pushAndStumble1_subject2.npz,6801,161.0192,42.24
/home/sangjunpark/Desktop/lafan_smplx/dance2_subject2.npz,6771,199.9622,33.86
/home/sangjunpark/Desktop/lafan_smplx/obstacles4_subject2.npz,7401,160.5946,46.08
/home/sangjunpark/Desktop/lafan_smplx/run1_subject2.npz,7135,174.3716,40.92
/home/sangjunpark/Desktop/lafan_smplx/dance2_subject5.npz,6771,166.2549,40.73
/home/sangjunpark/Desktop/lafan_smplx/walk1_subject5.npz,7840,174.4987,44.93
/home/sangjunpark/Desktop/lafan_smplx/fallAndGetUp1_subject1.npz,5047,124.9354,40.40
